GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,CAEMP25N,2010,"...","   State and local","Number of jobs",227391,229522,227375,229366,232850,233176,234443,238922,235371,231066,228451,229458,229673,229870,228928,226584,223367,220968
 "09000","Connecticut",1,CAEMP25N,2011,"...","    State government","Number of jobs",76310,74127,70749,73014,75810,74543,74865,77460,76430,75166,75003,76716,77591,77416,78127,76328,74565,74117
 "09000","Connecticut",1,CAEMP25N,2012,"...","    Local government","Number of jobs",151081,155395,156626,156352,157040,158633,159578,161462,158941,155900,153448,152742,152082,152454,150801,150256,148802,146851
 "09001","Fairfield, CT",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",576192,574103,575380,583542,591253,600698,617956,621959,608209,605628,621735,628379,639196,646567,657163,664048,659847,666896
 "09001","Fairfield, CT",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",457549,452492,447885,446860,448278,452248,458764,455972,434115,430170,436104,441850,447001,452320,456314,456618,452843,453589
 "09001","Fairfield, CT",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",118643,121611,127495,136682,142975,148450,159192,165987,174094,175458,185631,186529,192195,194247,200849,207430,207004,213307
 "09001","Fairfield, CT",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",243,238,226,221,217,210,240,264,285,309,339,359,367,356,357,350,345,345
 "09001","Fairfield, CT",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",118400,121373,127269,136461,142758,148240,158952,165723,173809,175149,185292,186170,191828,193891,200492,207080,206659,212962
 "09001","Fairfield, CT",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",410,428,415,393,387,389,421,483,520,543,562,589,652,660,708,715,708,715
 "09001","Fairfield, CT",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",575782,573675,574965,583149,590866,600309,617535,621476,607689,605085,621173,627790,638544,645907,656455,663333,659139,666181
 "09001","Fairfield, CT",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",528269,525198,526999,534789,542250,551804,568518,571379,557715,555708,572726,578704,589202,595918,606153,613798,610210,617554
 "09001","Fairfield, CT",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",(D),382,323,340,342,349,361,379,396,387,379,390,401,409,357,375,347,347
 "09001","Fairfield, CT",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),1063,1263,1065,1543,1480,1375,1512,1306,1020,989
 "09001","Fairfield, CT",1,CAEMP25N,300,"22","   Utilities","Number of jobs",1897,1962,1892,1839,1824,1959,2026,2154,(D),(D),(D),(D),1479,1509,1622,1682,1388,1316
