,
Date,sales and use rev
01-01-2006,12178334
02-01-2006,8735598
03-01-2006,8475104
04-01-2006,10678617
05-01-2006,9455838
06-01-2006,10143838
07-01-2006,11571938
08-01-2006,10936536
09-01-2006,10269247
10-01-2006,10781256
11-01-2006,9140110
12-01-2006,9181965
01-01-2007,12950344
02-01-2007,8744580
03-01-2007,8677563
04-01-2007,11035118
05-01-2007,8787647
06-01-2007,10224696
07-01-2007,11450578
08-01-2007,10502724
09-01-2007,10540601
10-01-2007,10934295
11-01-2007,9811303
12-01-2007,9686022
01-01-2008,11063893
02-01-2008,8316787
03-01-2008,8632248
04-01-2008,9791123
05-01-2008,9061573
06-01-2008,9947426
07-01-2008,10441162
08-01-2008,10275581
09-01-2008,9703587
10-01-2008,9946918
11-01-2008,8637049
12-01-2008,8286465
01-01-2009,11796205
02-01-2009,7395763
03-01-2009,7790113
04-01-2009,9161143
05-01-2009,7760088
06-01-2009,8783070
07-01-2009,9865187
08-01-2009,9310635
09-01-2009,9058459
10-01-2009,9578510
11-01-2009,8778077
12-01-2009,8371370
01-01-2010,12032969
02-01-2010,7515001
03-01-2010,8244666
04-01-2010,9849976
05-01-2010,8835925
06-01-2010,9400901
07-01-2010,10643106
08-01-2010,9580158
09-01-2010,9684727
10-01-2010,10405516
11-01-2010,9388967
12-01-2010,9321946
01-01-2011,12839022
02-01-2011,7584498
03-01-2011,8214130
04-01-2011,10322103
05-01-2011,9581055
06-01-2011,9490761
07-01-2011,11144133
08-01-2011,10289011
09-01-2011,10095405
10-01-2011,10564005
11-01-2011,9474692
12-01-2011,8970556
01-01-2012,13470301
02-01-2012,8129772
03-01-2012,9048100
04-01-2012,10658023
05-01-2012,9878312
06-01-2012,10265022
07-01-2012,11601389
08-01-2012,10726772
09-01-2012,11076615
10-01-2012,11565524
11-01-2012,10423637
12-01-2012,10082204
01-01-2013,13982574
02-01-2013,9705977
03-01-2013,9665222
04-01-2013,11052923
05-01-2013,10210765
06-01-2013,10894780
07-01-2013,12333441
08-01-2013,11122003
09-01-2013,11340506
10-01-2013,11937140
11-01-2013,11059375
12-01-2013,10763691
01-01-2014,14502484
02-01-2014,9716338
03-01-2014,9547747
04-01-2014,11725869
05-01-2014,10472202
06-01-2014,12056689
07-01-2014,13760241
08-01-2014,11996628
09-01-2014,12783366
10-01-2014,12888590
11-01-2014,11604597
12-01-2014,11047402
01-01-2015,14820707
02-01-2015,9706324
03-01-2015,10336828
04-01-2015,12342059
05-01-2015,11621048
06-01-2015,12064442
07-01-2015,14097861
08-01-2015,13166898
09-01-2015,12487802
10-01-2015,13853333
11-01-2015,12563927
12-01-2015,11597062
01-01-2016,16551945
02-01-2016,10490529
03-01-2016,10688559
04-01-2016,12710215
05-01-2016,12069433
06-01-2016,12641363
07-01-2016,15591001
08-01-2016,13314854
09-01-2016,14750276
10-01-2016,15546825
11-01-2016,14139217
12-01-2016,13573308
01-01-2017,17783127
02-01-2017,11692339
03-01-2017,11586037
04-01-2017,14799738
05-01-2017,13056800
06-01-2017,13953991
07-01-2017,16242918
08-01-2017,13884315
09-01-2017,13956532
10-01-2017,15964795
11-01-2017,13738600
12-01-2017,13527731
01-01-2018,17814894
02-01-2018,12681848
03-01-2018,12255400
04-01-2018,15414109
05-01-2018,13435984
06-01-2018,14872085
07-01-2018,16964784
08-01-2018,15019049
09-01-2018,16017344
10-01-2018,16669036
11-01-2018,15242513
12-01-2018,14855770
01-01-2019,18240741
02-01-2019,13636338
03-01-2019,12328400
04-01-2019,16281663
05-01-2019,14547375
06-01-2019,14658061
07-01-2019,17511912
08-01-2019,16064102
09-01-2019,15769154
10-01-2019,16835541
11-01-2019,15340880
12-01-2019,14294156
